class,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
1,no checking account,4,critical account/  other credits existing (not at this bank),radio/television,1544,A61,4  <= ... < 7 years,2,male   : single,none,1,real estate,42,none,own,3,unskilled - resident,2,none,yes
2,... <    0 DM,24,existing credits paid back duly till now,radio/television,1823,A61,unemployed,4,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",30,stores,own,1,management/ self-employed/,2,none,yes
2,0 <= ... <  200 DM,6,existing credits paid back duly till now,car (new),14555,A65,unemployed,1,male   : single,none,2,if not A121 : building society savings agreement/ life insurance,23,none,own,1,unemployed/ unskilled  - non-resident,1,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,21,existing credits paid back duly till now,business,2767,A62,.. >= 7 years,4,male   : divorced/separated,none,2,"if not A121/A122 : car or other, not in attribute 6",61,bank,rent,2,unskilled - resident,1,none,yes
1,no checking account,12,critical account/  other credits existing (not at this bank),radio/television,1291,A61,1  <= ... < 4 years,4,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,35,none,own,2,skilled employee / official,1,none,yes
1,... <    0 DM,30,existing credits paid back duly till now,radio/television,2522,A61,.. >= 7 years,1,male   : single,guarantor,3,if not A121 : building society savings agreement/ life insurance,39,none,own,1,skilled employee / official,2,none,yes
2,... <    0 DM,24,existing credits paid back duly till now,car (new),915,A65,.. >= 7 years,4,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",29,bank,own,1,skilled employee / official,1,none,yes
1,no checking account,6,existing credits paid back duly till now,radio/television,1595,A61,4  <= ... < 7 years,3,male   : single,none,2,if not A121 : building society savings agreement/ life insurance,51,none,own,1,skilled employee / official,2,none,yes
2,... <    0 DM,48,no credits taken/ all credits paid back duly,car (used),4605,A61,.. >= 7 years,3,male   : single,none,4,unknown / no property,24,none,for free,2,skilled employee / official,2,none,yes
1,no checking account,12,critical account/  other credits existing (not at this bank),business,1185,A61,1  <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,27,none,own,2,skilled employee / official,1,none,yes
1,no checking account,12,all credits at this bank paid back duly,retraining,3447,A63,1  <= ... < 4 years,4,female : divorced/separated/married,none,3,real estate,35,none,own,1,unskilled - resident,2,none,yes
1,no checking account,24,existing credits paid back duly till now,business,1258,A61,4  <= ... < 7 years,4,male   : single,none,1,real estate,25,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,12,critical account/  other credits existing (not at this bank),radio/television,717,A61,.. >= 7 years,4,male   : single,none,4,real estate,52,none,own,3,skilled employee / official,1,none,yes
1,no checking account,6,no credits taken/ all credits paid back duly,car (new),1204,A62,1  <= ... < 4 years,4,male   : single,none,1,unknown / no property,35,bank,rent,1,skilled employee / official,1,none,no
1,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,furniture/equipment,1925,A61,1  <= ... < 4 years,2,male   : single,none,2,real estate,26,none,own,1,skilled employee / official,1,none,yes
2,no checking account,18,existing credits paid back duly till now,radio/television,433,A61,unemployed,3,female : divorced/separated/married,co-applicant,4,real estate,22,none,rent,1,skilled employee / official,1,none,yes
1,... <    0 DM,6,critical account/  other credits existing (not at this bank),car (new),666,A64,4  <= ... < 7 years,3,female : divorced/separated/married,none,4,real estate,39,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes
1,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,furniture/equipment,2251,A61,1  <= ... < 4 years,1,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",46,none,own,1,unskilled - resident,1,none,yes
2,0 <= ... <  200 DM,30,existing credits paid back duly till now,car (new),2150,A61,1  <= ... < 4 years,4,female : divorced/separated/married,guarantor,2,unknown / no property,24,bank,own,1,skilled employee / official,1,none,yes
1,no checking account,24,delay in paying off in the past,furniture/equipment,4151,A62,1  <= ... < 4 years,2,male   : single,none,3,if not A121 : building society savings agreement/ life insurance,35,none,own,2,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,9,existing credits paid back duly till now,furniture/equipment,2030,A65,4  <= ... < 7 years,2,male   : single,none,1,"if not A121/A122 : car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,60,delay in paying off in the past,radio/television,7418,A65,1  <= ... < 4 years,1,male   : single,none,1,real estate,27,none,own,1,unskilled - resident,1,none,yes
1,no checking account,24,critical account/  other credits existing (not at this bank),radio/television,2684,A61,1  <= ... < 4 years,4,male   : single,none,2,real estate,35,none,own,2,unskilled - resident,1,none,yes
2,... <    0 DM,12,all credits at this bank paid back duly,radio/television,2149,A61,1  <= ... < 4 years,4,male   : divorced/separated,none,1,unknown / no property,29,none,for free,1,skilled employee / official,1,none,yes
1,no checking account,15,existing credits paid back duly till now,car (used),3812,A62,... < 1 year,1,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",23,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,11,critical account/  other credits existing (not at this bank),radio/television,1154,A62,unemployed,4,female : divorced/separated/married,none,4,real estate,57,none,own,3,unskilled - resident,1,none,yes
1,... <    0 DM,12,existing credits paid back duly till now,furniture/equipment,1657,A61,1  <= ... < 4 years,2,male   : single,none,2,real estate,27,none,own,1,skilled employee / official,1,none,yes
1,... <    0 DM,24,existing credits paid back duly till now,radio/television,1603,A61,.. >= 7 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",55,none,own,1,skilled employee / official,1,none,yes
1,... <    0 DM,18,critical account/  other credits existing (not at this bank),car (new),5302,A61,.. >= 7 years,2,male   : single,none,4,unknown / no property,36,none,for free,3,management/ self-employed/,1,"yes, registered under the customers name",yes
1,no checking account,12,critical account/  other credits existing (not at this bank),education,2748,A61,.. >= 7 years,2,female : divorced/separated/married,none,4,unknown / no property,57,bank,for free,3,unskilled - resident,1,none,yes
1,no checking account,10,critical account/  other credits existing (not at this bank),car (new),1231,A61,.. >= 7 years,3,male   : single,none,4,real estate,32,none,own,2,unskilled - resident,2,none,no
2,0 <= ... <  200 DM,15,existing credits paid back duly till now,radio/television,802,A61,.. >= 7 years,4,male   : single,none,3,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,skilled employee / official,2,none,yes
1,no checking account,36,critical account/  other credits existing (not at this bank),business,6304,A65,.. >= 7 years,4,male   : single,none,4,real estate,36,none,own,2,skilled employee / official,1,none,yes
1,no checking account,24,existing credits paid back duly till now,radio/television,1533,A61,... < 1 year,4,female : divorced/separated/married,none,3,"if not A121/A122 : car or other, not in attribute 6",38,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
2,... <    0 DM,14,existing credits paid back duly till now,car (new),8978,A61,.. >= 7 years,1,male   : divorced/separated,none,4,if not A121 : building society savings agreement/ life insurance,45,none,own,1,management/ self-employed/,1,"yes, registered under the customers name",no
1,no checking account,24,existing credits paid back duly till now,radio/television,999,A65,.. >= 7 years,4,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",25,none,own,2,skilled employee / official,1,none,yes
1,no checking account,18,existing credits paid back duly till now,car (new),2662,A65,4  <= ... < 7 years,4,male   : single,none,3,if not A121 : building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,none,no
1,no checking account,12,critical account/  other credits existing (not at this bank),furniture/equipment,1402,A63,4  <= ... < 7 years,3,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",37,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,48,all credits at this bank paid back duly,car (new),12169,A65,unemployed,4,male   : single,co-applicant,4,unknown / no property,36,none,for free,1,management/ self-employed/,1,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,48,existing credits paid back duly till now,radio/television,3060,A61,4  <= ... < 7 years,4,male   : single,none,4,real estate,28,none,own,2,skilled employee / official,1,none,yes
2,... <    0 DM,30,existing credits paid back duly till now,repairs,11998,A61,... < 1 year,1,male   : divorced/separated,none,1,unknown / no property,34,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes
1,no checking account,9,existing credits paid back duly till now,radio/television,2697,A61,1  <= ... < 4 years,1,male   : single,none,2,real estate,32,none,own,1,skilled employee / official,2,none,yes
1,no checking account,18,critical account/  other credits existing (not at this bank),radio/television,2404,A61,1  <= ... < 4 years,2,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,2,skilled employee / official,1,none,yes
1,... <    0 DM,12,existing credits paid back duly till now,furniture/equipment,1262,A65,.. >= 7 years,2,male   : divorced/separated,none,4,if not A121 : building society savings agreement/ life insurance,49,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes
2,no checking account,6,existing credits paid back duly till now,furniture/equipment,4611,A61,... < 1 year,1,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,none,yes
1,no checking account,24,existing credits paid back duly till now,radio/television,1901,A62,1  <= ... < 4 years,4,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",29,none,rent,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,no checking account,15,critical account/  other credits existing (not at this bank),car (used),3368,A64,.. >= 7 years,3,male   : single,none,4,unknown / no property,23,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,12,existing credits paid back duly till now,furniture/equipment,1574,A61,1  <= ... < 4 years,4,male   : single,none,2,real estate,50,none,own,1,skilled employee / official,1,none,yes
1,... >= 200 DM / salary assignments for at least 1 year,18,all credits at this bank paid back duly,radio/television,1445,A65,4  <= ... < 7 years,4,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",49,bank,own,1,unskilled - resident,1,none,yes
1,no checking account,15,critical account/  other credits existing (not at this bank),furniture/equipment,1520,A65,.. >= 7 years,4,male   : single,none,4,if not A121 : building society savings agreement/ life insurance,63,none,own,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,24,critical account/  other credits existing (not at this bank),car (new),3878,A62,... < 1 year,4,male   : divorced/separated,none,2,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,... <    0 DM,47,existing credits paid back duly till now,car (new),10722,A61,... < 1 year,1,female : divorced/separated/married,none,1,real estate,35,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes
1,... <    0 DM,48,existing credits paid back duly till now,car (used),4788,A61,4  <= ... < 7 years,4,male   : single,none,3,if not A121 : building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,2,none,yes
1,0 <= ... <  200 DM,48,delay in paying off in the past,others,7582,A62,unemployed,2,male   : single,none,4,unknown / no property,31,none,for free,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,12,existing credits paid back duly till now,radio/television,1092,A61,1  <= ... < 4 years,4,female : divorced/separated/married,guarantor,4,real estate,49,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
2,... <    0 DM,24,delay in paying off in the past,radio/television,1024,A61,... < 1 year,4,male   : married/widowed,none,4,real estate,48,stores,own,1,skilled employee / official,1,none,yes
1,no checking account,12,existing credits paid back duly till now,business,1076,A61,1  <= ... < 4 years,2,male   : married/widowed,none,2,real estate,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no
2,0 <= ... <  200 DM,36,existing credits paid back duly till now,car (used),9398,A61,... < 1 year,1,male   : married/widowed,none,4,"if not A121/A122 : car or other, not in attribute 6",28,none,rent,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,... <    0 DM,24,critical account/  other credits existing (not at this bank),car (used),6419,A61,.. >= 7 years,2,female : divorced/separated/married,none,4,unknown / no property,44,none,for free,2,management/ self-employed/,2,"yes, registered under the customers name",yes
1,... >= 200 DM / salary assignments for at least 1 year,42,critical account/  other credits existing (not at this bank),car (used),4796,A61,.. >= 7 years,4,male   : single,none,4,unknown / no property,56,none,for free,1,skilled employee / official,1,none,yes
1,no checking account,48,critical account/  other credits existing (not at this bank),business,7629,A65,.. >= 7 years,4,male   : divorced/separated,none,2,"if not A121/A122 : car or other, not in attribute 6",46,bank,own,2,management/ self-employed/,2,none,yes
2,0 <= ... <  200 DM,48,existing credits paid back duly till now,furniture/equipment,9960,A61,... < 1 year,1,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,12,existing credits paid back duly till now,car (used),4675,A65,... < 1 year,1,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",20,none,rent,1,skilled employee / official,1,none,yes
1,no checking account,10,existing credits paid back duly till now,car (new),1287,A65,.. >= 7 years,4,male   : single,co-applicant,2,if not A121 : building society savings agreement/ life insurance,45,none,own,1,unskilled - resident,1,none,no
1,no checking account,18,existing credits paid back duly till now,furniture/equipment,2515,A61,1  <= ... < 4 years,3,male   : single,none,4,real estate,43,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,21,critical account/  other credits existing (not at this bank),furniture/equipment,2745,A64,4  <= ... < 7 years,3,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",32,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,6,existing credits paid back duly till now,car (new),672,A61,unemployed,1,female : divorced/separated/married,none,4,real estate,54,none,own,1,unemployed/ unskilled  - non-resident,1,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,36,no credits taken/ all credits paid back duly,radio/television,3804,A61,1  <= ... < 4 years,4,female : divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute 6",42,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
2,... >= 200 DM / salary assignments for at least 1 year,24,critical account/  other credits existing (not at this bank),car (new),1344,A65,4  <= ... < 7 years,4,male   : single,none,2,real estate,37,bank,own,2,unskilled - resident,2,none,yes
1,... <    0 DM,10,critical account/  other credits existing (not at this bank),car (new),1038,A61,4  <= ... < 7 years,4,male   : single,co-applicant,3,if not A121 : building society savings agreement/ life insurance,49,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
2,no checking account,48,critical account/  other credits existing (not at this bank),car (new),10127,A63,1  <= ... < 4 years,2,male   : single,none,2,unknown / no property,44,bank,for free,1,skilled employee / official,1,none,yes
1,no checking account,6,existing credits paid back duly till now,furniture/equipment,1543,A64,1  <= ... < 4 years,4,male   : divorced/separated,none,2,real estate,33,none,own,1,skilled employee / official,1,none,yes
1,no checking account,30,existing credits paid back duly till now,car (used),4811,A65,4  <= ... < 7 years,2,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,24,stores,rent,1,unskilled - resident,1,none,yes
2,... <    0 DM,12,existing credits paid back duly till now,radio/television,727,A62,... < 1 year,4,male   : married/widowed,none,3,unknown / no property,33,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,8,existing credits paid back duly till now,furniture/equipment,1237,A61,1  <= ... < 4 years,3,female : divorced/separated/married,none,4,real estate,24,none,own,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,9,existing credits paid back duly till now,car (new),276,A61,1  <= ... < 4 years,4,male   : married/widowed,none,4,real estate,22,none,rent,1,unskilled - resident,1,none,yes
1,0 <= ... <  200 DM,48,existing credits paid back duly till now,others,5381,A65,unemployed,3,male   : single,none,4,unknown / no property,40,bank,for free,1,unemployed/ unskilled  - non-resident,1,"yes, registered under the customers name",yes
1,no checking account,24,existing credits paid back duly till now,furniture/equipment,5511,A62,1  <= ... < 4 years,4,male   : single,none,1,"if not A121/A122 : car or other, not in attribute 6",25,stores,own,1,skilled employee / official,1,none,yes
1,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,furniture/equipment,3749,A61,... < 1 year,2,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,none,yes
2,0 <= ... <  200 DM,12,existing credits paid back duly till now,car (new),685,A61,4  <= ... < 7 years,2,male   : married/widowed,none,3,"if not A121/A122 : car or other, not in attribute 6",25,bank,own,1,unskilled - resident,1,none,yes
1,... >= 200 DM / salary assignments for at least 1 year,4,existing credits paid back duly till now,car (new),1494,A65,... < 1 year,1,male   : single,none,2,real estate,29,none,own,1,unskilled - resident,2,none,no
2,... <    0 DM,36,all credits at this bank paid back duly,furniture/equipment,2746,A61,.. >= 7 years,4,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",31,bank,own,1,skilled employee / official,1,none,yes
1,... <    0 DM,12,existing credits paid back duly till now,furniture/equipment,708,A61,1  <= ... < 4 years,2,male   : single,guarantor,3,if not A121 : building society savings agreement/ life insurance,38,none,own,1,unskilled - resident,2,none,yes
1,0 <= ... <  200 DM,24,existing credits paid back duly till now,furniture/equipment,4351,A65,1  <= ... < 4 years,1,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,48,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes
1,no checking account,12,critical account/  other credits existing (not at this bank),education,701,A61,1  <= ... < 4 years,4,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",32,none,own,2,skilled employee / official,1,none,yes
1,... <    0 DM,15,delay in paying off in the past,furniture/equipment,3643,A61,.. >= 7 years,1,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,27,none,own,2,unskilled - resident,1,none,yes
2,0 <= ... <  200 DM,30,critical account/  other credits existing (not at this bank),car (new),4249,A61,unemployed,4,male   : married/widowed,none,2,"if not A121/A122 : car or other, not in attribute 6",28,none,own,2,management/ self-employed/,1,none,yes
2,... <    0 DM,24,existing credits paid back duly till now,radio/television,1938,A61,... < 1 year,4,male   : divorced/separated,none,3,if not A121 : building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,none,yes
1,... <    0 DM,24,existing credits paid back duly till now,car (used),2910,A61,4  <= ... < 7 years,2,male   : single,none,1,unknown / no property,34,none,for free,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,... <    0 DM,18,existing credits paid back duly till now,furniture/equipment,2659,A64,1  <= ... < 4 years,4,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,none,yes
1,no checking account,18,critical account/  other credits existing (not at this bank),car (new),1028,A61,1  <= ... < 4 years,4,female : divorced/separated/married,none,3,real estate,36,none,own,2,skilled employee / official,1,none,yes
1,... <    0 DM,8,critical account/  other credits existing (not at this bank),car (new),3398,A61,4  <= ... < 7 years,1,male   : single,none,4,real estate,39,none,own,2,unskilled - resident,1,none,no
1,no checking account,12,critical account/  other credits existing (not at this bank),furniture/equipment,5801,A65,.. >= 7 years,2,male   : single,none,4,if not A121 : building society savings agreement/ life insurance,49,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,24,existing credits paid back duly till now,car (new),1525,A64,4  <= ... < 7 years,4,female : divorced/separated/married,none,3,"if not A121/A122 : car or other, not in attribute 6",34,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes
1,... >= 200 DM / salary assignments for at least 1 year,36,existing credits paid back duly till now,radio/television,4473,A61,.. >= 7 years,4,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",31,none,own,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,6,existing credits paid back duly till now,radio/television,1068,A61,.. >= 7 years,4,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",28,none,own,1,skilled employee / official,2,none,yes
1,... <    0 DM,24,critical account/  other credits existing (not at this bank),car (used),6615,A61,unemployed,2,male   : single,none,4,unknown / no property,75,none,for free,2,management/ self-employed/,1,"yes, registered under the customers name",yes
2,no checking account,18,critical account/  other credits existing (not at this bank),education,1864,A62,1  <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,30,none,own,2,skilled employee / official,1,none,yes
2,0 <= ... <  200 DM,60,existing credits paid back duly till now,car (new),7408,A62,... < 1 year,4,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,24,none,own,1,management/ self-employed/,1,none,yes
2,no checking account,48,critical account/  other credits existing (not at this bank),car (used),11590,A62,1  <= ... < 4 years,2,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",24,bank,rent,2,unskilled - resident,1,none,yes
2,... <    0 DM,24,no credits taken/ all credits paid back duly,furniture/equipment,4110,A61,.. >= 7 years,3,male   : single,none,4,unknown / no property,23,bank,rent,2,skilled employee / official,2,none,yes
2,... <    0 DM,6,critical account/  other credits existing (not at this bank),furniture/equipment,3384,A61,1  <= ... < 4 years,1,male   : divorced/separated,none,4,real estate,44,none,rent,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,13,existing credits paid back duly till now,radio/television,2101,A61,... < 1 year,2,female : divorced/separated/married,guarantor,4,if not A121 : building society savings agreement/ life insurance,23,none,own,1,unskilled - resident,1,none,yes
2,... <    0 DM,15,existing credits paid back duly till now,domestic appliances,1275,A65,1  <= ... < 4 years,4,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",24,none,rent,1,skilled employee / official,1,none,yes
1,... <    0 DM,24,existing credits paid back duly till now,furniture/equipment,4169,A61,1  <= ... < 4 years,4,male   : single,none,4,if not A121 : building society savings agreement/ life insurance,28,none,own,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,10,existing credits paid back duly till now,furniture/equipment,1521,A61,1  <= ... < 4 years,4,male   : divorced/separated,none,2,"if not A121/A122 : car or other, not in attribute 6",31,none,own,1,unskilled - resident,1,none,yes
1,0 <= ... <  200 DM,24,critical account/  other credits existing (not at this bank),education,5743,A61,... < 1 year,2,female : divorced/separated/married,none,4,unknown / no property,24,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,... <    0 DM,21,existing credits paid back duly till now,furniture/equipment,3599,A61,4  <= ... < 7 years,1,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",26,none,rent,1,unskilled - resident,1,none,yes
1,0 <= ... <  200 DM,18,existing credits paid back duly till now,radio/television,3213,A63,... < 1 year,1,male   : married/widowed,none,3,real estate,25,none,rent,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,18,existing credits paid back duly till now,business,4439,A61,.. >= 7 years,1,male   : single,co-applicant,1,real estate,33,bank,own,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,car (new),3949,A61,... < 1 year,1,male   : single,guarantor,1,if not A121 : building society savings agreement/ life insurance,37,none,own,1,unskilled - resident,2,none,yes
1,no checking account,15,critical account/  other credits existing (not at this bank),radio/television,1459,A61,1  <= ... < 4 years,4,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",43,none,own,1,unskilled - resident,1,none,yes
1,0 <= ... <  200 DM,13,critical account/  other credits existing (not at this bank),radio/television,882,A61,... < 1 year,4,male   : single,guarantor,4,real estate,23,none,own,2,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,24,existing credits paid back duly till now,radio/television,3758,A63,unemployed,1,female : divorced/separated/married,none,4,unknown / no property,23,none,rent,1,unemployed/ unskilled  - non-resident,1,none,yes
1,no checking account,6,delay in paying off in the past,business,1743,A62,1  <= ... < 4 years,1,male   : single,none,2,real estate,34,none,own,2,unskilled - resident,1,none,yes
2,0 <= ... <  200 DM,9,critical account/  other credits existing (not at this bank),education,1136,A64,.. >= 7 years,4,male   : single,none,3,unknown / no property,32,none,for free,2,skilled employee / official,2,none,yes
1,no checking account,9,existing credits paid back duly till now,domestic appliances,1236,A61,... < 1 year,1,female : divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,9,existing credits paid back duly till now,furniture/equipment,959,A61,1  <= ... < 4 years,1,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",29,none,own,1,skilled employee / official,1,none,no
1,no checking account,18,critical account/  other credits existing (not at this bank),car (used),3229,A65,unemployed,2,male   : single,none,4,unknown / no property,38,none,own,1,management/ self-employed/,1,"yes, registered under the customers name",yes
2,... <    0 DM,12,no credits taken/ all credits paid back duly,radio/television,6199,A61,1  <= ... < 4 years,4,male   : single,none,2,if not A121 : building society savings agreement/ life insurance,28,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,10,existing credits paid back duly till now,education,727,A63,.. >= 7 years,4,male   : single,none,4,unknown / no property,46,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,24,existing credits paid back duly till now,car (new),1246,A61,... < 1 year,4,male   : single,none,2,real estate,23,stores,own,1,unskilled - resident,1,none,yes
1,no checking account,12,critical account/  other credits existing (not at this bank),radio/television,2331,A65,.. >= 7 years,1,male   : single,co-applicant,4,real estate,49,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
2,no checking account,36,delay in paying off in the past,radio/television,4463,A61,1  <= ... < 4 years,4,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,2,management/ self-employed/,1,"yes, registered under the customers name",yes
1,no checking account,12,existing credits paid back duly till now,radio/television,776,A61,1  <= ... < 4 years,4,male   : married/widowed,none,2,real estate,28,none,own,1,skilled employee / official,1,none,yes
2,... <    0 DM,30,existing credits paid back duly till now,furniture/equipment,2406,A61,4  <= ... < 7 years,4,female : divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,18,existing credits paid back duly till now,education,1239,A65,1  <= ... < 4 years,4,male   : single,none,4,unknown / no property,61,none,for free,1,skilled employee / official,1,none,yes
1,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,3399,A65,.. >= 7 years,2,male   : single,none,3,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,management/ self-employed/,1,none,yes
1,... >= 200 DM / salary assignments for at least 1 year,12,delay in paying off in the past,car (new),2247,A61,1  <= ... < 4 years,2,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",36,stores,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,6,existing credits paid back duly till now,furniture/equipment,1766,A61,1  <= ... < 4 years,1,male   : married/widowed,none,2,if not A121 : building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,none,yes
2,... <    0 DM,18,existing credits paid back duly till now,furniture/equipment,2473,A61,unemployed,4,male   : single,none,1,"if not A121/A122 : car or other, not in attribute 6",25,none,own,1,unemployed/ unskilled  - non-resident,1,none,yes
1,no checking account,12,existing credits paid back duly till now,business,1542,A61,4  <= ... < 7 years,2,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",36,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,18,critical account/  other credits existing (not at this bank),car (used),3850,A61,4  <= ... < 7 years,3,male   : single,none,1,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes
1,... <    0 DM,18,existing credits paid back duly till now,furniture/equipment,3650,A61,... < 1 year,1,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",22,none,rent,1,skilled employee / official,1,none,yes
2,... <    0 DM,36,existing credits paid back duly till now,furniture/equipment,3446,A61,.. >= 7 years,4,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",42,none,own,1,skilled employee / official,2,none,yes
1,0 <= ... <  200 DM,18,existing credits paid back duly till now,furniture/equipment,3001,A61,4  <= ... < 7 years,2,female : divorced/separated/married,none,4,real estate,40,none,rent,1,skilled employee / official,1,none,yes
